company_id,name
30211f56-d5f7-4eea-927e-1ae960f29170,"METAWATER Co., Ltd."
d59f81fb-3f39-41ab-8fa6-028af37702c3,SAINT-GOBAIN ISOVER
26413b1f-e08f-4576-a5ce-5c2d37650c9e,Owens-Brockway Glass Container Inc.
5ae231ff-c153-4410-aaf4-2f3d9c87a2a6,ICESUN VACUUM GLASS LTD.
fd3d8d73-9f4e-4eaf-98c3-138894dd384f,TAIFIN GLASS MACHINERY OY
95838abe-68dc-4b13-aada-c72b2ad13949,Cardinal CG Company
2ac33ec4-c101-4e73-b369-d7c5ed681514,Pilkington Group Limited
e3275ff7-65e8-4f76-bd4d-db7033d48bdb,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration
f61fe707-a96f-4a90-9f8a-edbafb71b7d3,"US Concrete, Inc."
391165c9-dd71-4a3b-a0a8-ead9a8ff2fdd,NIPPON STEEL & SUMITOMO METAL CORPORATION
411734f0-1260-4d61-8080-c08ad6f2e7e3,BPB Limited
d17dd399-4d91-407f-b686-459438d5db37,REFEL S.p.A.
64d6ca58-c72c-472b-9e47-a55973dfe7ca,Refractory Intellectual Property GmbH & Co. KG
05fb44e9-52ed-4e34-8473-d10394362cfc,TaeguTec Ltd.
1d86631c-e613-463d-8b25-9c1255e49c45,KING FAHD UNIVERSITY OF PETROLEUM AND MINERALS
81b60343-1089-453f-a31f-e28c6ff26471,"CoorsTek, Inc."
107b2e7c-f2e6-4bae-b321-be71f128ada7,"IXYS, LLC"
95440980-f246-43e8-ba3c-c96311630193,XITEBIO TECHNOLOGIES INC.
4b7da54c-b5b5-4ca2-b65f-7942fdd905a5,BOKASHICYCLE NVC LLC
d5f2b1cd-9974-4de9-b76a-b5bf8b46c5e6,Whirlpool Corporation
55054898-6f4b-4846-95d5-6435aece606f,IFP Energies nouvelles
a8ff5b01-5396-4174-bd3b-0245cf192b9b,"The United States of America, as represented by the Secretary of the Navy"
41a2bf1a-8afe-4b78-a2c7-040ac6a9987a,"GRUPO PETROTEMEX, S.A. DE C.V."
bec81223-c3d2-4a58-a405-a45962f42ad3,"SK Innovation Co., Ltd."
b34f726f-c6f5-4e9c-b39b-3be08fd1e36a,Akzo Nobel Chemicals International B.V
9ec00d73-7763-49f2-bbc6-277a0288371b,B.R.A.I.N. Biotechnology Research and Information Network AG
1a7ba982-b7ee-471c-813a-457839a13730,ARKEMA FRANCE
b84319ea-3eb9-4374-bfc2-a8445d679e8b,EVONIK DEGUSSA GMBH
3ce3b54a-bdbd-4b73-ac55-cbabc845e9b4,Trent University
f67f7503-8d29-45d4-898b-1aa15d14a5f3,Ohio University
bf36fee7-53f9-4caf-9d3a-92abb4f2c04d,"UNIMATEC CO., LTD."
ea9b3e84-48ba-47ec-8903-1e151eab97c6,Merck Patent GmbH
7b3a3311-a503-4c38-8523-4041dc0bbe29,ALLNEX BELGIUM S.A.
aff59855-e1cd-4810-b136-18c3a1a847bd,NITTO DENKO CORPORATION
282b49fb-2e0e-48b4-896a-db3cdf066ab6,EAST CHINA UNIVERSITY OF SCIENCE AND TECHNOLOGY
db8db963-cc59-44ec-b4b4-0b6fc768d731,Kancera AB
15dab51e-5b68-4017-be03-a990ed1b392a,"OTSUKA PHARMACEUTICAL CO., LTD."
0ed7db0d-4cee-441e-aaa2-4452443ac0e4,SRI INTERNATIONAL
b7b2eabd-0875-449f-b04c-82b6b5bf6d81,University of South Florida
54991813-eacc-485c-846e-0d97352c62ca,Northwestern University
fc8ce78e-89bd-46f9-a1be-876874b1ecef,Virginia Commonwealth University
5ed35e81-c079-4e8d-81c8-66eb133562c3,Merck Sharp & Dohme LLC
31329700-d88c-44c1-af1a-a2c25b7bafc6,"Salzman Group, Inc."
cfbe3073-5fb8-4a64-95d8-ced1a2e1188f,"AMIRA PHARMACEUTICALS, INC."
95c17e69-7d40-4b70-a679-7aabf5072379,INSTITUTO MEXICANO DEL PETRÓLEO
4f9b80c7-483b-4f62-aa60-270ffcaa94aa,"SUMITOMO CHEMICAL COMPANY, LIMITED"
d78de1dd-210b-4044-b82f-0b9079527a17,"EPIGEN Biosciences, Inc."
cefc8d48-d0db-49b8-b8fc-0c8f3d704312,Thomas Swan & Co. LTD.
99e7c805-e4f5-4328-8486-c799383c6640,SWIMC LLC
b5ac98b7-7d2d-4a11-88f2-7dbae02fd5b9,"UBE INDUSTRIES, LTD."
374174a9-6936-40a0-a7d5-a7b96f3460e4,PAION UK LIMITED
56d31b59-a481-484b-aa34-04f67a96f3f5,"Mycovia Pharmaceuticals, Inc."
8a438460-04ed-45b1-a90e-556928dbc9fe,U.S. Department of Health and Human Services
2ebba3c5-ebc0-4f3b-b91b-262d86c832e1,BRISTOL-MYERS SQUIBB COMPANY
712e9af8-13e3-4b25-9e1d-803b45cd8f81,Dyomics GmbH
3f2e8d11-c60e-4ba2-8202-f27731d63cb9,"Pierce Biotechnology, Inc."
8ff0736b-4451-4b45-a26a-9edf0d6c7638,Takeda Pharmaceutical Company Limited
